"Model","Pleaf_min","HSM_P50","HSM_P88"
"Medlyn",3.99214095031526,0.0778590496847369,1.50785904968474
"Sperry",2.78939218956232,1.28060781043768,2.71060781043768
"Sperry + varkmax",2.76676946588765,1.30323053411235,2.73323053411235
"Sperry + CGnet",2.79703516579575,1.27296483420425,2.70296483420425
"Sperry + CGnet + TC",2.84282358728907,1.22717641271093,2.65717641271093
