"Model","Tleaf_max","TSM_Tcrit","TSM_T50"
"Medlyn",48.0135759037585,-1.51357590375849,2.38642409624151
"Sperry",47.3891790332784,-0.889179033278403,3.0108209667216
"Sperry + varkmax",47.1997308723368,-0.699730872336801,3.2002691276632
"Sperry + CGnet",47.7446742535751,-1.2446742535751,2.6553257464249
"Sperry + CGnet + TC",47.7446742535751,-1.2446742535751,2.6553257464249
