"chamber","kmax"
"C01",2.04877727764368
"C02",1.67895980609279
"C03",1.92285090793827
"C04",1.92127161441757
"C05",1.96128889729286
"C06",1.57220937405816
"C07",2.23559810180346
"C08",1.37957965894389
"C09",2.97773751899974
"C10",1.64901340655643
"C11",2.97523767314235
"C12",2.02436185952161
