"DateTime_hr","chamber","T_treatment","HWtrt","combotrt","PPFD","Tair","Tcan","VPD","A","E","FluxCO2","FluxH2O","LeafArea","Tdiff","gs","Dleaf","Atogs","sw","sw0","Ps"
2016-10-29,"C01","ambient","C","ambient_C",0,16.0163402557373,16.3593333333333,0.176167731752476,-0.412968019124461,0.127817808863073,-0.00975196278571435,0.00301833182634071,23.61432928,0.342993077595999,0.0761083946572631,0.216572021490364,-0.00542605084477434,0.101,0.075,0.162132136279926
2016-10-29,"C02","elevated","C","elevated_C",0,18.9426779747009,18.8193333333333,0.450382967678817,-0.723949308759416,0.0723397940655246,-0.0124303941154015,0.00124209269845478,17.17025483,-0.123344641367598,0.0164230886717322,0.433516341936529,-0.0440811910128388,0.112,0.086,0.208749079189687
2016-10-29,"C03","ambient","HW","ambient_HW",0,15.9659264087677,16.239,0.21024037057102,-0.867808902063226,0.112395397388818,-0.0107141865162289,0.00138766178628314,12.34625099,0.273073591232301,0.0555632201824511,0.242254578794639,-0.0156184054706266,0.079,0.061,0.134773480662983
2016-10-29,"C04","elevated","HW","elevated_HW",0,18.9367589950561,18.804,0.237944712874652,-0.9281362924359,0.0834601125342855,-0.0219902947796854,0.00197741699352997,23.69295863,-0.132758995056101,0.0362549355654902,0.219801288770176,-0.0256002742236111,0.11,0.1,0.21798664825046
2016-10-29,"C05","ambient","C","ambient_C",0,16.0188908576965,16.4306666666667,0.214104480400595,-0.902500658155503,0.143655796327619,-0.0116491075316007,0.00185424997071839,12.90758896,0.411775808970198,0.0701911177321431,0.262712029866118,-0.0128577615988328,0.131,0.129,0.188379834254144
2016-10-29,"C06","elevated","C","elevated_C",0,18.9573936462402,18.94,0.240013990341996,-0.665441281326201,0.0716878151312799,-0.0196365277919449,0.00211543800132702,29.50903159,-0.0173936462401976,0.0307901456458152,0.237626688443024,-0.0216121511402023,0.087,0.075,0.185277163904236
2016-10-29,"C07","ambient","HW","ambient_HW",0,16.0500016212464,16.3736666666667,0.17001552279102,-0.816884630639736,0.22114182713005,-0.0119270579370464,0.00322881749215776,14.6006639,0.323665045420302,0.140391354844579,0.208194196972477,-0.00581862488287879,0.101,0.097,0.272846224677716
2016-10-29,"C08","elevated","C","elevated_C",0,18.9590358734131,18.9053333333333,0.217251420721176,-0.771097877666949,0.108143582935778,-0.0188193759467175,0.00263934683577547,24.40594961,-0.0537025400798008,0.0519040194924204,0.209887329948807,-0.0148562266508002,0.094,0.055,0.223851749539595
2016-10-29,"C09","ambient","HW","ambient_HW",0,16.0390718777975,16.2446666666667,0.17133892600284,-0.820861043756993,0.160106653104762,-0.0140870107561926,0.00274763208898542,17.16126117,0.205594788869199,0.0990614738632209,0.195495339898605,-0.00828638028231234,0.106,0.085,0.252514272559853
2016-10-29,"C10","elevated","HW","elevated_HW",0,18.9733600616455,19.0036666666667,0.36957923164965,-0.642404961174895,0.0929996745727847,-0.0109188010720765,0.00158069287723268,16.99675708,0.0303066050211989,0.0258684828196246,0.373747928526254,-0.0248334997322513,0.071,0.05,0.297757366482505
2016-10-29,"C11","ambient","C","ambient_C",0,15.9738025665283,16.0313333333333,0.171021625648335,-0.882848402858464,0.25035556736287,-0.00842311170093576,0.00238860137484632,9.54083586,0.0575307668049998,0.159468723312878,0.177728615306313,-0.00553618530654636,0.117,0.081,0.264348987108656
2016-10-29,"C12","elevated","HW","elevated_HW",0,18.9287948608399,19.0636666666667,0.230548973711603,-0.887664172092413,0.10937185506907,-0.024110017506815,0.00297067001617542,27.16119256,0.134871805826798,0.0493843237886957,0.249108563485496,-0.0179746142903672,0.093,0.052,0.217593922651934
2016-10-29 00:30:00,"C01","ambient","C","ambient_C",0,15.910204410553,16.26,0.170140670219928,-0.382820276801011,0.128759190870686,-0.00904004407143981,0.00304056193104676,23.61432928,0.349795589447002,0.0794866593089082,0.211109840166517,-0.00481615758077416,0.101,0.075,0.162132136279926
